觀測時間(day),測站氣壓(hPa),海平面氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),露點溫度(℃),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),降水量(mm),降水時數(hour),最大十分鐘降水量(mm),最大十分鐘降水量起始時間(LST),最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間(LST),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),能見度(km),A型蒸發量(mm),日最高紫外線指數,日最高紫外線指數時間(LST),總雲量(0~10)
ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,1019.2,1020.4,1021.4,2023/3/1 09:01,1016.3,2023/3/1 16:11,19,26.3,2023/3/1 12:33,13.7,2023/3/1 04:25,13.8,76,32,2023/3/1 13:42,3.6,360,12.1,330,2023/3/1 13:40,0,0,0,...,0,...,10.5,90.3,20.97,...,...,8,2023/3/1 13:00,...
2,1021,1022.2,1023.1,2023/3/2 20:32,1019.2,2023/3/2 02:13,18.1,25.4,2023/3/2 12:12,14.6,2023/3/2 23:49,11.7,69,41,2023/3/2 12:07,4.4,360,12.5,340,2023/3/2 15:32,0,0,0,...,0,...,10.3,88.4,19.52,...,...,7,2023/3/2 12:00,...
3,1022.1,1023.3,1023.8,2023/3/3 08:03,1019.6,2023/3/3 14:34,17.8,24,2023/3/3 14:09,13.4,2023/3/3 03:43,11.3,67,46,2023/3/3 13:25,2.2,290,7.7,270,2023/3/3 14:23,0,0,0,...,0,...,10.4,89.1,20.73,...,...,8,2023/3/3 13:00,...
4,1022.1,1023.2,1024.3,2023/3/4 08:49,1019.7,2023/3/4 15:13,18.3,25.3,2023/3/4 13:44,14,2023/3/4 06:50,13.3,74,45,2023/3/4 13:30,2.6,350,9.7,330,2023/3/4 16:44,0,0,0,...,0,...,10,85.5,19.64,...,...,7,2023/3/4 12:00,...
5,1020.7,1021.9,1022.9,2023/3/5 08:20,1018.1,2023/3/5 15:13,18.8,26.7,2023/3/5 14:02,13.4,2023/3/5 06:38,11.5,67,29,2023/3/5 13:22,2.7,360,10.1,360,2023/3/5 16:18,0,0,0,...,0,...,10.8,92.2,21.85,...,...,8,2023/3/5 13:00,...
6,1020.2,1021.3,1022.2,2023/3/6 08:56,1018.3,2023/3/6 15:26,19.4,25.5,2023/3/6 12:45,14.5,2023/3/6 05:03,13.1,69,42,2023/3/6 12:31,1.9,270,9.4,280,2023/3/6 14:58,0,0,0,...,0,...,10.7,91.1,21.36,...,...,7,2023/3/6 13:00,...
7,1019.5,1020.7,1021.5,2023/3/7 08:49,1017.6,2023/3/7 15:42,20.6,26.3,2023/3/7 14:09,17.1,2023/3/7 06:22,12.1,59,35,2023/3/7 13:59,2.1,300,8.7,340,2023/3/7 14:26,0,0,0,...,0,...,7.6,64.6,18.47,...,...,7,2023/3/7 12:00,...
8,1018.4,1019.5,1020.6,2023/3/8 09:08,1016.4,2023/3/8 15:39,20.8,26.8,2023/3/8 12:52,15.7,2023/3/8 05:59,10.3,54,29,2023/3/8 13:50,1.7,340,8.8,260,2023/3/8 15:18,0,0,0,...,0,...,10.6,89.9,21.43,...,...,7,2023/3/8 13:00,...
9,1016.4,1017.5,1018.1,2023/3/9 08:37,1014.1,2023/3/9 15:33,21.1,27.5,2023/3/9 12:39,16.5,2023/3/9 06:41,10.6,53,23,2023/3/9 12:36,2.3,340,9,330,2023/3/9 13:29,0,0,0,...,0,...,10.6,89.8,20.98,...,...,7,2023/3/9 13:00,...
